date,no_Frygt/Bekymret,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-04-24,"[0.11859318990698096, 0.1217028360503095, 0.3054345921717718, 0.1190245664832094, 0.0730633625594458, 0.22686925747675774, 0.035312195351524765]",0.0010089093334508619,0.0038620043876365414,-0.0028530950541856793,0.0001867659061837328,0.002730459437762938,0.0014586126719733355
2020-04-25,"[0.11347180578136366, 0.12648744066335776, 0.2548220405029841, 0.13560883278091238, 0.07091534211196757, 0.26041833228137634, 0.03827620587803818]",0.0013590484604227447,0.0016079896611500887,-0.00024894120072734395,0.0005114786060305443,0.0006727600274907846,0.0005921193167606645
2020-04-26,"[0.09511737324388814, 0.112248655639797, 0.2256428852042607, 0.13412875642493194, 0.08039266819768097, 0.3156540226388054, 0.03681563865063589]",0.004900659784689436,0.004139145020128286,0.0007615147645611501,0.0021381623195745256,0.0009227859060198499,0.0015304741127971878
2020-04-27,"[0.1017291688615095, 0.10924816036051464, 0.2806940523090027, 0.13444250602325564, 0.07203029237738699, 0.2556095427640892, 0.04624627730424123]",0.00210146368588436,0.000500822581153622,0.0016006411047307383,0.0010599833122403972,0.00012248963934240696,0.0005912364757914021
2020-04-28,"[0.09529011288815692, 0.10969996475175343, 0.29034840036041015, 0.13410940211813402, 0.06878685189257937, 0.2635810971794583, 0.03818417080950773]",0.0016900805520776243,0.0006005165840301352,0.0010895639680474892,0.0013007456363031253,0.00028535683860491366,0.0007930512374540195
2020-04-29,"[0.0930060076661045, 0.11076490005907841, 0.30589739541971234, 0.13723233840649643, 0.06658357379036303, 0.24779348134550747, 0.03872230331273774]",0.0021075246143275168,0.001295195845022232,0.0008123287693052848,0.0023637870849542186,0.0007209594358413464,0.0015423732603977824
2020-04-30,"[0.08988364799714967, 0.11486210339183715, 0.29500246807278774, 0.13132453239608424, 0.06963486131162915, 0.24512639130644556, 0.05416599552406649]",0.000755494673266749,0.0018661815420611446,-0.0011106868687943956,0.000168885864183863,0.0007817825983979007,0.00047533423129088185
2020-05-01,"[0.10382542463772775, 0.1250163390523569, 0.28499051178730694, 0.1237182321862343, 0.06765965731332625, 0.25174364398267485, 0.04304619104037293]",0.0007331933493008048,0.0009038329374246382,-0.00017063958812383337,9.307126340799213e-05,0.00039812693116766815,0.0002455990972878301
2020-05-02,"[0.11042994697845264, 0.11673260217899807, 0.24884287561727458, 0.13643779742298925, 0.07000940864935169, 0.2726980093930415, 0.044849359759892175]",0.0018522499909818739,0.0009672489276204331,0.0008850010633614407,0.0005247184567233649,0.000585658354236875,0.00055518840548012
2020-05-03,"[0.10959147682933248, 0.11618890116767808, 0.2511171294774502, 0.12632389145516013, 0.0778055284422208, 0.2796435872210122, 0.039329485407146154]",0.001410761999393372,0.0018376302649416776,-0.0004268682655483055,0.0009672922593874876,0.000839050768287179,0.0009031715138373333
2020-05-04,"[0.10465256314397658, 0.11206959548340882, 0.2819823754641687, 0.1312832772229395, 0.07472827626865934, 0.25457157743530945, 0.040712334981537486]",0.0006762297576455656,0.0007605901586275155,-8.436040098194991e-05,0.00023378156814657155,0.00039581208247705063,0.0003147968253118111
2020-05-05,"[0.09760312691887704, 0.11532962768588816, 0.29721768120468206, 0.13374774758118738, 0.07109907742231786, 0.2467148160598672, 0.03828792312718014]",0.0012596689884701653,0.0004659846598013136,0.0007936843286688517,0.0007135811376766457,0.00024024398373097557,0.00047691256070381066
2020-05-06,"[0.08971765617533232, 0.11407900640854658, 0.3121640645642856, 0.13141195912176848, 0.0674496909687593, 0.2466607148079466, 0.0385169079533612]",0.0013026240535778993,0.0016635431798567274,-0.000360919126278828,0.0011478665241509616,0.0011685277002069676,0.0011581971121789646
2020-05-07,"[0.09526739619259536, 0.11947149140410318, 0.3149238214972806, 0.13784015997955873, 0.06267511348216626, 0.23294477671544206, 0.036877240728853816]",0.0006293191736295154,0.0031599096790313323,-0.002530590505401817,0.00041888742835053625,0.0010028492887051645,0.0007108683585278503
2020-05-08,"[0.10074481374641607, 0.1203208200791182, 0.2631621710325571, 0.14778198543321763, 0.07417029684390583, 0.2533052358542153, 0.04051467701056977]",0.0013897217955368424,0.000655078388792562,0.0007346434067442804,0.000433898887949018,0.00011052492847677603,0.00027221190821289705
2020-05-09,"[0.11472539737482564, 0.11290250112431864, 0.2487394045880126, 0.14070635655378008, 0.08019795366929779, 0.2663819029556632, 0.03634648373410211]",0.002435355221053694,0.000967154676664047,0.0014682005443896473,0.0012894166730558763,0.0005504495262134555,0.0009199330996346659
2020-05-10,"[0.10770172384035213, 0.11414990948391113, 0.24188493453979498, 0.13880311359351266, 0.07570251490973727, 0.2825521151699485, 0.039205688462743346]",0.001736219569121418,0.0015764315995040526,0.00015978796961736534,0.0017167157788013556,0.00034227543800158315,0.0010294956084014695
2020-05-11,"[0.10406224296606538, 0.1129331963210394, 0.2852171615373575, 0.13368955814964784, 0.0697503188907234, 0.25664510667847373, 0.0377024154566927]",0.000959766608176546,0.0005563953916976006,0.00040337121647894547,0.0003214903478669898,0.00032029819340675356,0.0003208942706368717
2020-05-12,"[0.08686605287490531, 0.11441815379092762, 0.2805513369701218, 0.13559367149548726, 0.0720209835657677, 0.2725932885505957, 0.037956512752194485]",0.0011654206173339625,0.0003508573845938062,0.0008145632327401563,0.000458910972552838,9.160389224198507e-05,0.00027525743239741155
2020-05-13,"[0.09479404538400664, 0.11425499638186627, 0.2965253159984261, 0.13113133350497147, 0.0683371311388515, 0.25650717186246524, 0.03845000572941289]",0.0008664582934964859,0.0013223893293032366,-0.0004559310358067507,0.0008472430816844642,0.0011193834404120144,0.0009833132610482394
2020-05-14,"[0.08301070258728376, 0.11833496842434715, 0.30083555390071465, 0.13275368333688076, 0.06469560468121381, 0.2683761312325912, 0.03199335583696848]",0.00062673661058691,0.002168314167429526,-0.001541577556842616,0.00023569450036631224,0.0011050941783114772,0.0006703943393388947
2020-05-15,"[0.0951310795033325, 0.11081184856434535, 0.27434561269256796, 0.13023333868613995, 0.0696631578435067, 0.2838599976366686, 0.035954965073439094]",0.00054150880987932,0.0007783023004371378,-0.0002367934905578178,0.00023168490885867028,0.0002506044872957189,0.00024114469807719457
2020-05-16,"[0.1044699512447362, 0.11414443315447954, 0.23494948926091044, 0.13238553888928442, 0.07894524753973954, 0.29848666805049295, 0.03661867186035682]",0.002509218111532404,0.0017204136605057476,0.0007888044510266565,0.001006933521498009,0.0011387888521132423,0.0010728611868056257
2020-05-17,"[0.10212770576279648, 0.11592156401861155, 0.2473586336710972, 0.13709700334233144, 0.0752528145198022, 0.2875299899538859, 0.034712288731475124]",0.000987412153626899,0.0016340096397078003,-0.0006465974860809013,0.0008808448390683133,0.00037850497782835994,0.0006296749084483366
2020-05-18,"[0.09030632287932307, 0.1226583278118522, 0.2962242464580868, 0.12495222337218402, 0.06974034694677081, 0.2611787108151789, 0.034939821716604105]",0.0018102990140029045,0.0004257994648031313,0.0013844995491997733,0.0009290244461559704,0.0004126284985793381,0.0006708264723676542
2020-05-19,"[0.09355655269453218, 0.12005882617541598, 0.2855241850942304, 0.12930372913949872, 0.06836853117135751, 0.268229796716403, 0.03495837900856213]",0.0010834730861026616,0.0006461614680597904,0.00043731161804287124,0.0007819350422027928,0.0004132812872101003,0.0005976081647064465
2020-05-20,"[0.08742048925110457, 0.11726489852597227, 0.29910262745982363, 0.13471986355808635, 0.06925880713701241, 0.25914586060251166, 0.033087453465489094]",0.0007775470397851192,0.0018399808382103951,-0.001062433798425276,0.0008365454042983536,0.0005281331061723205,0.0006823392552353371
2020-05-21,"[0.10480818234433593, 0.11796665081189305, 0.2615975491452265, 0.1357142406384242, 0.07274693165100009, 0.27038110852615266, 0.03678533688296757]",0.000891392511628804,0.0009170453156897898,-2.5652804060985793e-05,0.00027432605092283813,0.0006413586709139591,0.00045784236091839865
2020-05-22,"[0.09977102707005643, 0.10635444348635209, 0.2522890898416441, 0.1376720872793147, 0.07832972801640398, 0.2883072335083174, 0.03727639079791131]",0.0011863963961008916,0.0004018210827519549,0.0007845753133489367,0.000615361991445316,0.0002593216516390019,0.0004373418215421589
2020-05-23,"[0.10307254629650232, 0.11036870852265356, 0.24352615246125503, 0.1404215166220928, 0.08227890966248702, 0.2852621019018101, 0.03507006453319906]",0.0010215742093155594,0.0009449841897293861,7.659001958617326e-05,0.001012938001916679,0.0005230842956561534,0.0007680111487864162
2020-05-24,"[0.09823418291351389, 0.10941637366950555, 0.22166583229268344, 0.14066930281954446, 0.08224513278818413, 0.3105501314952012, 0.03721904402136731]",0.0010472226127130667,0.002741549442961035,-0.0016943268302479682,0.0005531219113174808,0.0009422727360303523,0.0007476973236739165
2020-05-25,"[0.09003821795320711, 0.11003109108620776, 0.2630244525797763, 0.14424020739079826, 0.0726189070315155, 0.28634746003513933, 0.033699663923355744]",0.0007790484036711423,0.0006491563847692067,0.00012989201890193551,0.0004660402029041062,0.00011341010853211025,0.00028972515571810823
2020-05-26,"[0.09554513731277339, 0.11200907771166095, 0.29089979486265516, 0.13010280769907331, 0.06784941699289258, 0.2698322473887933, 0.03376151803215133]",0.0019979523536605673,0.0005003517362022116,0.0014976006174583557,0.0011748733431830216,0.00041948117809471945,0.0007971772606388706
2020-05-27,"[0.0832713353463989, 0.11545559944990748, 0.2851325150900761, 0.13613509879395486, 0.06671615775369745, 0.27767214929755546, 0.03561714426840969]",0.0013462355479903745,0.001175195357826428,0.00017104019016394656,0.0013367330114320733,0.001092545283990971,0.0012146391477115223
2020-05-28,"[0.08802652708228274, 0.11005893900076476, 0.29527883904189656, 0.1337703202379212, 0.0689586612764785, 0.2698648920236514, 0.03404182133700493]",0.00032739480936268056,0.0023326163434262727,-0.002005221534063592,0.00027616742250227526,0.0009768547258964266,0.0006265110741993509
2020-05-29,"[0.0847499867914483, 0.10785989626303465, 0.2617555384473363, 0.13867709242328446, 0.07865711896424828, 0.2930409366401741, 0.0352594304704741]",0.0009017577266630935,0.0009266914668577252,-2.4933740194631702e-05,0.0001701839829435995,0.00036888077434854235,0.00026953237864607094
2020-05-30,"[0.10202763052116559, 0.11292846161331188, 0.2334388585738214, 0.13039752168076418, 0.0879991059133787, 0.29504823784799844, 0.038160183849559895]",0.002253298980837181,0.0006063518438320317,0.0016469471370051491,0.0008541443155448716,0.0004504770071752329,0.0006523106613600522
2020-05-31,"[0.1086376840103603, 0.10851509786564374, 0.23310183272679585, 0.1351307825972919, 0.08211465197862365, 0.2914198878725287, 0.041080062948755776]",0.001504498422563648,0.0011138794456587548,0.00039061897690489326,0.0011764744150518352,0.0004982123824431161,0.0008373433987474756
2020-06-01,"[0.09355153802723923, 0.10382785611547025, 0.24663444469602241, 0.13442892867718662, 0.08117287913185951, 0.29845381084087336, 0.04193054251134854]",0.00042099561872438376,0.00060159746638419,-0.00018060184765980624,6.894177711025836e-06,0.00013658243350719168,7.173830560910876e-05
2020-06-02,"[0.08355715629713281, 0.10107504119018312, 0.2628889263308668, 0.1323107623759552, 0.08178264445873111, 0.3046602278444752, 0.033725241502655746]",0.0011163229063494305,0.0005100960000596898,0.0006062269062897407,0.00044510684364144855,0.00013087463366958098,0.00028799073865551475
2020-06-03,"[0.0893105448486831, 0.10831056543463717, 0.2654594796780483, 0.12077965922647867, 0.07672839920176976, 0.30142432454737256, 0.03798702706301035]",0.0007192696463044938,0.0006133496201784438,0.00010592002612605002,0.00042649297187291265,0.00044203718129570636,0.0004342650765843095
2020-06-04,"[0.08743445599850767, 0.11471418188662466, 0.271664476918233, 0.12874330658672445, 0.07405861798500324, 0.2881791113125857, 0.03520584931232132]",0.0005142649669397602,0.001048155244548223,-0.0005338902776084629,0.00022406586095226444,0.0005388009501461308,0.0003814334055491976
2020-06-05,"[0.09771514784233519, 0.11366823220463097, 0.2548815241269601, 0.13159599020276241, 0.07547279246521728, 0.29012362699795474, 0.036542686160139386]",0.00044336398788589153,0.0006379676101635353,-0.00019460362227764375,0.00016462482985163897,0.00022989321080819385,0.0001972590203299164
2020-06-06,"[0.09022979228725937, 0.12022747997735951, 0.22490736251190557, 0.13283410913408508, 0.07806235483674166, 0.3164416508021067, 0.03729725045054221]",0.0012190893388668647,0.0009318948400786187,0.000287194498788246,0.00026339652057168,0.0006245499555086626,0.0004439732380401713
2020-06-07,"[0.0907339681679008, 0.1159061965563056, 0.22881352492112955, 0.13315751204845286, 0.07855636784059766, 0.3130304852704366, 0.03980194519517701]",0.0006866083659198139,0.0013580351999378359,-0.000671426834018022,0.0005145114769383023,0.0002546570361687859,0.0003845842565535441
2020-06-08,"[0.08622619726253006, 0.1076192945135984, 0.26879200487578186, 0.13318548143639147, 0.07797301735078878, 0.29110003263905904, 0.03510397192185025]",0.0009903225684589551,0.00025845454466048623,0.0007318680237984689,0.0004775779021116743,7.561390829005471e-05,0.0002765959052008645
2020-06-09,"[0.07890591928443148, 0.1122142531522778, 0.2660795750500444, 0.12371427472383027, 0.0759199212622288, 0.30993213419953936, 0.03323392232764799]",0.0009410855957243995,0.00029881259005269174,0.0006422730056717077,0.00041131998361779073,3.306255823544002e-05,0.00022219127092661537
2020-06-10,"[0.08011527892575204, 0.11488571177664934, 0.2774352413805581, 0.13079189115600628, 0.0738703013897635, 0.28801843633181506, 0.03488313903945555]",0.0007472383075530492,0.0006843082543631763,6.293005318987297e-05,0.0006892311001882785,0.0008775128128203078,0.0007833719565042931
2020-06-11,"[0.08093919755369379, 0.11713858313700594, 0.2757902172137177, 0.12761596982299955, 0.07568171339356372, 0.29013827316024393, 0.03269604571877529]",0.0001746035112301623,0.0012583077071546057,-0.0010837041959244433,9.416333421502341e-05,0.0008055166990190869,0.00044984001661705513
2020-06-12,"[0.0838350221703209, 0.1155090668801162, 0.26710578237919425, 0.13328872929769758, 0.07296444123010146, 0.2919590287885433, 0.03533792925402646]",0.00016993987785946768,0.000981001839926589,-0.0008110619620671214,9.58469048107346e-05,0.00030501225264830415,0.00020042957872951937
2020-06-13,"[0.10467706655802128, 0.11229574414477024, 0.23388278069070256, 0.131593211915372, 0.07942922436959035, 0.29862526523451616, 0.039496707087027405]",0.0016968798531439625,0.0014688660242374643,0.00022801382890649813,0.0002899708711870226,0.0008120477391799239,0.0005510093051834732
2020-06-14,"[0.09989439790627307, 0.1173203343327448, 0.23930221290344222, 0.13377697070786354, 0.07148732143883756, 0.2922323703396018, 0.045986392371237014]",0.0010624326396558494,0.0016540006416459164,-0.000591568001990067,0.0005946670765019131,0.00011871709904692697,0.00035669208777442004
2020-06-15,"[0.09171567242568245, 0.10764560862910012, 0.2804936352373767, 0.1420435498033136, 0.06412676434913075, 0.2767774310503711, 0.0371973385050252]",0.0013672238774725745,0.00045307081353057984,0.0009141530639419947,0.0006058868928676679,0.00019533963290979645,0.0004006132628887321
