date,emo_prob,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-04-06,"[0.08232424973379403, 0.10410526544537889, 0.25650418323662993, 0.12251863441771517, 0.07275374318186756, 0.2384903187952278, 0.046870460916617764, 0.07623061042658147]",0.001872433024758009,0.0010424839377172967,0.0008299490870407123,0.00011891307188797594,0.0007658272845757709,0.0004423701782318734
2020-04-07,"[0.08030739587965022, 0.11006308976829207, 0.2531189911565634, 0.11394338224396025, 0.07591378884442468, 0.24991791413467712, 0.04078237241243021, 0.07574917247171581]",0.0012453667693597419,0.0014206620438427353,-0.00017529527448299342,0.0006561779191523321,0.0007870798143985859,0.000721628866775459
2020-04-08,"[0.09149878384518748, 0.117124341806324, 0.2506034533450939, 0.11284008232432576, 0.07723745756822495, 0.24061112447544966, 0.03871018095314463, 0.07116916579798466]",0.0005658535879294442,0.0009626126808551478,-0.0003967590929257036,0.0001622867878027095,0.00017806797468751192,0.0001701773812451107
2020-04-09,"[0.10291056936443779, 0.12383081378695775, 0.23776818051621526, 0.11829668056395401, 0.07864622386302153, 0.24179637821838898, 0.039259539798224115, 0.05728493682568981]",0.0015174942964755,0.0002832640195992243,0.0012342302768762758,0.0005889017844556795,0.00013062996969753836,0.00035976587707660894
2020-04-10,"[0.1100699763750707, 0.11872185805077694, 0.23315116627291785, 0.1167526037334043, 0.07712574451801815, 0.24712388114331346, 0.040504541975842676, 0.05634266129837286]",0.0011270763331836695,0.0003387992693443353,0.0007882770638393342,0.0008419618299656455,0.00016936694666014912,0.0005056643883128973
2020-04-11,"[0.1021114106304706, 0.12047944944817962, 0.2191781047824432, 0.11373928073068626, 0.08319171000887987, 0.2591240327286566, 0.04065374857287834, 0.061305657744513506]",0.0006431131815751886,0.0006972015577920359,-5.408837621684727e-05,0.000329109639926527,0.0003427290241509028,0.0003359193320387149
2020-04-12,"[0.1138231092741643, 0.12069436589079832, 0.23082673482706112, 0.11462519034152707, 0.0769298455514466, 0.2395862156478863, 0.044322311652527, 0.058991189906460725]",0.0003105563964007308,0.0012512016683795737,-0.0009406452719788428,0.00017447656201868098,0.00020717940785205794,0.00019082798493536945
2020-04-13,"[0.0972994557733919, 0.11254350534391186, 0.23182558520752738, 0.11477017900465543, 0.07668821716608747, 0.27107383122418194, 0.03934305947151006, 0.0562488033571569]",0.0006254473425962274,0.0008021818816318721,-0.00017673453903564468,0.00025199114836623186,0.00018647477997779148,0.00021923296417201168
2020-04-14,"[0.08719473960202025, 0.11154502801313716, 0.2528557116440813, 0.12153975657549747, 0.08143780531559627, 0.25045996743300303, 0.03962020809759059, 0.05512706648635221]",0.0010998040953747181,0.0005927526233745055,0.0005070514720002126,0.0003341498534098103,0.0003448791389194785,0.0003395144961646444
2020-04-15,"[0.08924182192217422, 0.11651131457711585, 0.25576145220641494, 0.12087097615391301, 0.07443910990061714, 0.24960895894300694, 0.03962637267116738, 0.05372288702807637]",0.0007058501345567356,0.0006290819547466338,7.676817981010177e-05,0.00048742041649690946,0.0001409649028306156,0.00031419265966376256
2020-04-16,"[0.10128273516764566, 0.12691003625530478, 0.24948548382563726, 0.11859382816671817, 0.07512641578370478, 0.23619757735870264, 0.04033804558612742, 0.05183932435850593]",0.0007388027484343139,0.00034502808611956487,0.000393774662314749,0.0002598466263198097,0.00010649551946606192,0.0001831710728929358
2020-04-17,"[0.10025097287564615, 0.1196175872683975, 0.26438145437648836, 0.11930289829819361, 0.07515208805250623, 0.22275535807631988, 0.03712868095487019, 0.06120552361038507]",0.0007198147962261039,0.0005193586328637339,0.00020045616336236997,0.00018247607140578544,0.00022095593468702556,0.0002017160030464055
2020-04-18,"[0.10241283357679835, 0.12891887269747387, 0.23768582320875048, 0.11216179142765523, 0.07539583852923361, 0.24496932340471012, 0.03858627569743826, 0.05965229629101791]",0.0006038718674516399,0.0006219961228177872,-1.8124255366147287e-05,0.00020994785526411098,0.00032033854941150087,0.0002651432023378059
2020-04-19,"[0.10657471468065498, 0.11995778691429786, 0.24464666477635214, 0.11539572552633443, 0.0720665626993691, 0.24311256822853902, 0.039920925781526895, 0.05812167718154107]",0.0003153006652373787,0.00040809445892249057,-9.279379368511186e-05,0.0001612652629894931,4.625578535844694e-05,0.00010376052417397001
2020-04-20,"[0.10224057047488999, 0.11472083143680775, 0.26719423456228186, 0.11713973600364132, 0.06924503110301926, 0.2317572447276589, 0.04099423456228189, 0.0565031406463359]",0.000498616372675479,0.0002907221904455659,0.00020789418222991315,0.00026479201488866134,0.00011562158287398266,0.000190206798881322
2020-04-21,"[0.09683948972947373, 0.11323305511158466, 0.25920384182797607, 0.12268226484342624, 0.07404679453027879, 0.22996051619013794, 0.04327073343988634, 0.06054220683123186]",0.0004995036841813483,0.0005065081375323163,-7.004453350968002e-06,0.0002624765056038046,0.0001378589086451834,0.000200167707124494
2020-04-22,"[0.09526233503745095, 0.12775621210319818, 0.2524103852098442, 0.12151301866603255, 0.07364608845559387, 0.23704360361431454, 0.037847877779098794, 0.0543164308643443]",0.00042033720008697483,0.00043731421842033266,-1.6977018333357832e-05,4.317730496688863e-05,0.00013052578024060898,8.685154260374881e-05
2020-04-23,"[0.10061137801021647, 0.11888722330333251, 0.26345262709802963, 0.11491090975431767, 0.07706424835806372, 0.23358693140355147, 0.03597482364388226, 0.055301204086596924]",0.00028699052318865726,0.0016890289378070644,-0.001402038414618407,6.35000669052383e-05,0.0016662637366817504,0.0008648819017934943
2020-04-24,"[0.10692284102060841, 0.12350714548577035, 0.265815658734053, 0.1100799190382728, 0.07905372914622177, 0.2228676705103042, 0.037038518155053976, 0.05451248159960745]",0.00048115789472893993,0.0024375712293760884,-0.0019564133346471483,0.00022349892984323998,0.0019376811125025243,0.0010805900211728822
2020-04-25,"[0.10358973241231305, 0.12566974046006302, 0.2304523170813493, 0.12025776272550463, 0.07517557507880086, 0.2515311179666018, 0.040219971832875054, 0.05289504392730198]",0.0008730350856800155,0.0010856102903346332,-0.0002125752046546177,0.0003187679035116609,0.0005651246004433274,0.00044194625197749413
2020-04-26,"[0.09062023578270478, 0.11261467613369949, 0.2074332172282135, 0.11770493670038178, 0.0855053586978364, 0.29781442159555227, 0.03856973005559648, 0.049531616317234906]",0.0036875878411730986,0.003359762317778295,0.00032782552339480353,0.001360483534209286,0.00039910108316204654,0.0008797923086856662
2020-04-27,"[0.09822873668573594, 0.11181409020512656, 0.2534670817661746, 0.12257754669869464, 0.07731530705774517, 0.23840917854546598, 0.046210152027560916, 0.05176083314896171]",0.0015985732109838645,0.0003291904230552581,0.0012693827879286064,0.0011276766212311893,8.811339578920462e-05,0.000607895008510197
2020-04-28,"[0.09488213805037492, 0.11425995000961352, 0.25716532077164644, 0.1187478049093123, 0.07536576299429595, 0.2437183233993463, 0.03968121515093251, 0.0559742998141383]",0.0012869224476706248,0.0004174312796463575,0.0008694911680242673,0.0012083252361699038,0.00021441081673007897,0.0007113680264499914
2020-04-29,"[0.09313859436037158, 0.11285287069559792, 0.27004940419525325, 0.12015192200374222, 0.07313606670387027, 0.23953412336276794, 0.040036995699701275, 0.05088415454814036]",0.0014636124203913769,0.0010369324686780258,0.00042667995171335104,0.0017314238630495628,0.00039027373276333185,0.0010608487979064474
2020-04-30,"[0.08942995900908929, 0.11952022812332914, 0.25767780550109903, 0.11488085902691142, 0.07417774609398205, 0.23488044317709258, 0.054127992633517495, 0.0550908928889681]",0.0006287444176178826,0.001381660610169748,-0.0007529161925518653,0.0001334261982917722,0.0006955058473476974,0.0004144660228197348
2020-05-01,"[0.09680186251684843, 0.12556249234162478, 0.2429756770003676, 0.11380697831148143, 0.07260295919617692, 0.24634775150104155, 0.045972889351795124, 0.05569988359269697]",0.0005418023186220756,0.0007186618765039109,-0.00017685955788183526,0.0001626064299886595,0.00019261370393941824,0.00017761006696403886
2020-05-02,"[0.10849695402705956, 0.12013444782885879, 0.22625348870156547, 0.11791974215484875, 0.07395926896649428, 0.25854048310547567, 0.045171459941914, 0.04930615569880285]",0.0012253314794484092,0.0007416202110650389,0.0004837112683833703,0.00048495444793218224,0.0003838879260644107,0.00043442118699829645
2020-05-03,"[0.10296414689963308, 0.11704813106178938, 0.2276446293000109, 0.11384343782919829, 0.0830391223800356, 0.2689089323985615, 0.03982763631079952, 0.04651839877946892]",0.0011588282302026664,0.00137301465245295,-0.00021418642225028367,0.000739523522120862,0.0007806155312413081,0.0007600695266810851
2020-05-04,"[0.09967624774503908, 0.12105039085989175, 0.24721587492483463, 0.11573289236319902, 0.0818095610342754, 0.24984143114852672, 0.04077982561635598, 0.043680727600721586]",0.0005592161971304147,0.0009288609550054649,-0.0003696447578750502,8.576440385104881e-05,0.0004416147143568096,0.0002636895591039292
2020-05-05,"[0.09754669575853746, 0.11716043505570432, 0.26616103011669806, 0.11738672352805049, 0.0763151178551357, 0.23850252900922345, 0.04058930873747892, 0.04612955800191741]",0.0009749646448122372,0.00047763890827663404,0.0004973257365356032,0.0004570107136095482,0.0001121194785804691,0.00028456509609500866
2020-05-06,"[0.09052121412870004, 0.11939191183113008, 0.2730086723478574, 0.11850778403444846, 0.07299117709054774, 0.22984790267698513, 0.04099722966665663, 0.05452253907073383]",0.0012509531978392623,0.0010041709349006033,0.000246782262938659,0.0008343866048909662,0.0006888827362434384,0.0007616346705672023
2020-05-07,"[0.09341748475484699, 0.11900298066668488, 0.2724254423145287, 0.1291134567529875, 0.06976389838387705, 0.22409234597609998, 0.03875246793732396, 0.05321244770160518]",0.0006898155748597899,0.002027062528013916,-0.0013372469531541262,0.0005066618207990639,0.0008810010425525471,0.0006938314316758055
2020-05-08,"[0.09990666161281152, 0.12219801636185601, 0.2396692567674279, 0.1297483180138349, 0.07959651283995073, 0.23904592690861998, 0.0394905082283079, 0.05013676995483116]",0.0008195640791377953,0.0005614209228364992,0.0002581431563012961,0.0001588104539536148,0.00021996943453811784,0.00018938994424586632
2020-05-09,"[0.1076491842900302, 0.11579935548841892, 0.22915830815709967, 0.11728382678751256, 0.08394864048338367, 0.25388829808660623, 0.03780326283987915, 0.05424511581067471]",0.0015089844297738687,0.0006758935140370124,0.0008330909157368563,0.0007066161305725029,0.0003274535229476927,0.0005170348267600978
2020-05-10,"[0.1080627268014515, 0.1167926757016959, 0.2155506924387173, 0.1225538398874324, 0.07903128934310893, 0.2658198178182626, 0.041331889209805225, 0.05064359771902539]",0.001401748160619766,0.0014876398303501597,-8.58916697303938e-05,0.001183653467942778,0.0003076782421366143,0.0007456658550396961
2020-05-11,"[0.10026828684714245, 0.11483418785890073, 0.254445652173913, 0.12090261826633851, 0.07461908668307356, 0.24330800519551546, 0.03867404976756904, 0.05272286026797921]",0.000708486598015382,0.0004991133304834272,0.00020937326753195482,0.0003675766046647131,0.00022889664206279244,0.00029823662336375277
2020-05-12,"[0.08376766152639044, 0.1142378308235507, 0.24742623049763104, 0.12231858647433382, 0.07864550200682018, 0.26482122702719013, 0.038832211727072456, 0.04972118779611913]",0.001042912572730624,0.0005372916590363815,0.0005056209136942425,0.0002795558628712,0.00014078161565803769,0.00021016873926461887
