date,no_negative,novelty,transience,resonance,nsigma,tsigma,rsigma
2021-01-07,"[0.4463008410999227, 0.5536991589000773]",8.720660606284915e-05,0.00017918167760806158,-9.197507154521244e-05,0.0001127564549352856,5.451461198429858e-05,8.363553345979208e-05
2021-01-08,"[0.4660382554548767, 0.5339617445451232]",0.00015088155015349292,5.8082329529086104e-05,9.279922062440681e-05,3.3185874640533354e-05,7.115609671631045e-05,5.21709856784219e-05
2021-01-09,"[0.46076501724955937, 0.5392349827504407]",5.673935588590837e-05,3.85679114341268e-05,1.817144445178157e-05,3.7613964807812073e-05,2.8703788537461604e-05,3.315887667263684e-05
2021-01-10,"[0.4679325962606095, 0.5320674037393905]",8.777999285948926e-05,0.00012998460463778467,-4.220461177829541e-05,0.00010506734628115788,5.003670011178787e-05,7.755202319647288e-05
2021-01-11,"[0.44830156701426, 0.55169843298574]",0.0001436160145193924,1.2669605123463926e-05,0.00013094640939592846,4.840528065827502e-05,1.2402588477426803e-05,3.040393456785091e-05
2021-01-12,"[0.455972018200663, 0.544027981799337]",3.773433606691466e-05,1.1301023859846084e-05,2.6433312207068577e-05,2.529754528138565e-05,8.028547530982925e-06,1.6663046406184288e-05
2021-01-13,"[0.45223867956706765, 0.5477613204329322]",4.626686842267708e-05,4.498378016974441e-05,1.283088252932666e-06,5.4927408178895304e-05,4.527683454108746e-05,5.010212135999138e-05
2021-01-14,"[0.44928696482138736, 0.5507130351786126]",9.145717217992885e-06,0.00012307453946766347,-0.00011392882224967058,9.60989504857918e-06,5.421491493071501e-05,3.19124049896471e-05
2021-01-15,"[0.45890324370331537, 0.5410967562966846]",2.4447577296141587e-05,2.3229500555706287e-05,1.2180767404352997e-06,1.733151087985191e-05,1.6056254527886764e-05,1.6693882703869336e-05
2021-01-16,"[0.46689855548385933, 0.5331014445161407]",9.883220468264143e-05,2.1167200977950207e-05,7.766500370469123e-05,5.1071480394788415e-05,1.6305682903456644e-05,3.368858164912253e-05
2021-01-17,"[0.4674661414948341, 0.5325338585051659]",6.780917659331277e-05,3.524567375194964e-05,3.2563502841363125e-05,7.130874620782402e-05,7.370772456221177e-06,3.93397593320226e-05
2021-01-18,"[0.46007138802041836, 0.5399286119795816]",1.7200937921257914e-05,9.945254680672174e-05,-8.225160888546383e-05,1.1794055415838663e-05,7.22738217992109e-05,4.203393860752478e-05
2021-01-19,"[0.45798969787376126, 0.5420103021262387]",2.908134260072856e-05,0.0001534937282586917,-0.00012441238565796315,1.914123384011965e-05,5.235538644953245e-05,3.574831014482605e-05
2021-01-20,"[0.47558900624455486, 0.5244109937554452]",0.00010318804447368255,8.654914396734304e-06,9.453313007694825e-05,5.1541239929112466e-05,2.693898199149067e-06,2.7117569064130766e-05
2021-01-21,"[0.47875862589624657, 0.5212413741037535]",0.00013228758586226487,2.4973024490617037e-05,0.00010731456137164784,9.154686576239637e-05,7.2463167812336915e-06,4.939659127181503e-05
2021-01-22,"[0.4712499694803744, 0.5287500305196255]",4.202122077165307e-05,3.736705961262493e-05,4.654161159028139e-06,3.365696603352448e-05,3.5023286140900125e-05,3.43401260872123e-05
