,change_point,resonance,novelty,transience,happiness,trust,expectation,surprised,anger,contempt,grief,fear,date,epidemiological,other,policy,danish,international,new_cases,new_cases_MA7,n_all_tweets,n_keyword_tweets,proportion_keyword_tweets
54,0,-0.0012290288710020505,0.0008512680006373661,0.0020802968716394166,8680439492417208.0,1.2366562209842152e+16,2.5983650572578144e+16,1066298359640978.0,7362086041473227.0,2629897477561126.0,4723487310430207.0,3.900711853915197e+16,2019-02-24,0,0,0,0,0,,,25848,128,0.004952027236149799
55,0,0.0003669603542049639,0.0008040259934261716,0.00043706563922120775,8650703342345518.0,1.1423541397280668e+16,2.8906046001332236e+16,1.0667031072450138e+16,6773406214490027.0,2.5115336389639904e+16,378586654127973.0,4.655244700442773e+16,2019-02-25,0,0,0,0,0,,,25521,232,0.00909055287802202
56,0,0.0013555649868989127,0.0017053148805422538,0.00034974989364334113,8365220876756255.0,1.1053445002320578e+16,3.148262520568753e+16,1.0682266571030756e+16,6624408252816336.0,2.363018016117463e+16,3616518290367495.0,4520982237036412.0,2019-02-26,0,0,0,0,0,,,23701,262,0.011054385890890679
57,0,0.0004953805593885509,0.0012072830911397778,0.0007119025317512269,9141521275260448.0,1.1382770595372576e+16,314862892765993.0,1.0459746454123256e+16,6934241245136186.0,2261125057528974.0,3.4871595330739296e+16,4473457177523953.0,2019-02-27,0,0,0,0,0,,,23901,238,0.009957742353876408
58,0,-0.0007717976828873263,0.00023407592570216264,0.0010058736085894891,8502833093020536.0,1.2022571217021938e+16,3005640466076926.0,1.0623331125053584e+16,6689696426483768.0,2.3895101515919096e+16,3.75378590078329e+16,4432870893573906.0,2019-02-28,0,0,0,0,0,,,25661,210,0.008183624956159152
59,0,-0.0001262705404604926,0.0005203388361512596,0.0006466093766117522,101894275105072.0,1.1547398702411556e+16,3073615293589586.0,1.0549063532868158e+16,6603521442853062.0,2.2786648712612724e+16,3684959399355286.0,3.877581915371118e+16,2019-03-01,0,0,0,0,0,,,24507,248,0.010119557677398295
60,0,0.000376316365414142,0.0011939027409779135,0.0008175863755637715,1.0310621844152298e+16,1.1988773142883136e+16,2802743483600964.0,1.1868234544875584e+16,7250625483328026.0,2.3413769731155892e+16,385100304780967.0,3.2642314515762176e+16,2019-03-02,0,0,0,0,0,,,21983,148,0.006732475094391121
61,0,-0.0003862916809809671,0.000704628335229543,0.00109092001621051,1.0369564835936128e+16,1.3020600105281628e+16,2814269608703281.0,1.1085313212844358e+16,6636361642393401.0,2305405772942621.0,4.189243726969643e+16,3480395683453237.0,2019-03-03,0,0,0,0,0,,,22796,152,0.006667836462537287
62,0,0.00047566193786830363,0.0009254267728721736,0.00044976483500386993,9157236391646696.0,1.1167720814789454e+16,30062444368367.0,1.0527340807942484e+16,6860908079424854.0,2.3273925881547416e+16,4491180246490927.0,4.435279014036288e+16,2019-03-04,0,0,0,0,0,,,23368,146,0.0062478603218076
63,0,0.0007336909789035875,0.0009012263781872377,0.00016753539928365024,8499457410435556.0,1.1496131262078192e+16,2911527426787573.0,1.1566928051137208e+16,6885755165749961.0,2.4627909915266836e+16,3602504831276943.0,4183607105693474.0,2019-03-05,0,0,0,0,0,,,26908,273,0.010145681581685743
64,0,-0.0004351920739779459,0.0004891604736962222,0.000924352547674168,8507265101299478.0,1.1469007227652324e+16,3019481706175336.0,1.1333262180279368e+16,6837804741040332.0,2.360595813204509e+16,4005774632063813.0,402304984458675.0,2019-03-06,0,0,0,0,0,,,26703,177,0.006628468711380744
65,0,-0.0011800759328225328,0.0002779815930242746,0.0014580575258468073,8382116285478092.0,1186223280714876.0,3.0482675274573868e+16,1.1101893477148368e+16,6829901980081092.0,2.344721095933551e+16,3513089005235602.0,4357690036609849.0,2019-03-07,0,0,0,0,0,,,25403,193,0.007597527851041214
66,0,-0.0008857069652121846,0.00020571542216902368,0.0010914223873812082,8599557734124497.0,1.1852268455386428e+16,2954940109829359.0,1.0699074927210406e+16,6789028120738583.0,2.4976091843880148e+16,3460332436516419.0,4050492020786496.0,2019-03-08,0,0,0,0,0,,,27133,239,0.008808462020417941
67,0,-0.00016197786836467075,0.002321236214271568,0.0024832140826362386,8954245001149161.0,1.1008563548609512e+16,2513397379912663.0,1.178449551827166e+16,8265902091473223.0,2742421512296023.0,3752999310503332.0,3651960468857734.0,2019-03-09,0,0,0,0,0,,,21755,152,0.006986899563318778
68,0,-0.0009465951036666655,0.0009107638581296328,0.0018573589617962981,8762499481349319.0,1157819177627484.0,2.6555665740010788e+16,1.1288763951703248e+16,7741118625783162.0,2.5818032446786444e+16,4312314841707813.0,3.921264677814198e+16,2019-03-10,0,0,0,0,0,,,24101,110,0.004564125969876769
69,0,0.001732727175669349,0.0021404247569790317,0.0004076975813096823,841621939831919.0,1.0862327960699928e+16,317276480857456.0,1.078134058706508e+16,6.249705655474808e+16,2.3703528074377816e+16,3641261012545166.0,4.594003491535056e+16,2019-03-11,0,0,0,0,0,,,24631,144,0.005846291258982583
70,0,0.001354436970837537,0.0018851613360999552,0.000530724365262418,7698475757462823.0,1.0839671300264596e+16,3.1723411470949948e+16,1174119554280177.0,659715648641598.0,2396005664666642.0,3.4497149032907244e+16,3966418216375358.0,2019-03-12,0,0,0,0,0,,,26833,183,0.006819960496403682
71,0,-4.771611579874131e-05,0.0007379846251590931,0.0007857007409578343,797891354729967.0,1.2139335627501928e+16,3.0566616335416812e+16,1.1071616686565068e+16,7062957370601869.0,2.3622764941358236e+16,34956703420184.0,4039258374885877.0,2019-03-13,0,0,0,0,0,,,28478,219,0.007690146779970503
